Book Name,URL,Author
Story of my life - Helen Keller,https://m.media-amazon.com/images/I/71vpkd-EszL._SX342_.jpg,Helen Keller
The Alchemist,https://m.media-amazon.com/images/I/71zHDXu1TaL._AC_UY327_FMwebp_QL65_.jpg,Paulo Coelho
After,https://m.media-amazon.com/images/I/71sRAcBottL._AC_UY327_FMwebp_QL65_.jpg,Anna Todd
After we collided,https://m.media-amazon.com/images/I/81SCCcLR9AL._AC_UY327_FMwebp_QL65_.jpg,Anna Todd
After we fell,https://m.media-amazon.com/images/I/81yue89j8BL._AC_UY327_FMwebp_QL65_.jpg,Anna Todd
Happily ever after,https://m.media-amazon.com/images/I/816Ft-Oeu9L._AC_UY327_FMwebp_QL65_.jpg,Kiera Cass
Twisted Love,https://m.media-amazon.com/images/I/71Ii6a7sajL._AC_UY327_FMwebp_QL65_.jpg,Ana Huang
Twisted Games,https://m.media-amazon.com/images/I/81ibvrj2pYL._AC_UY327_FMwebp_QL65_.jpg,Ana Huang
Twisted Hate,https://m.media-amazon.com/images/I/71Y4XyFPA3L._AC_UY327_FMwebp_QL65_.jpg,Ana Huang
Twister Lies,https://m.media-amazon.com/images/I/71L7bhEzioL._AC_UY327_FMwebp_QL65_.jpg,Ana Huang
It ends with us,https://m.media-amazon.com/images/I/61Lo1cSsSgL._AC_UY327_FMwebp_QL65_.jpg,Colleen Hoover
It starts with us,https://m.media-amazon.com/images/I/71PNGYHykrL._AC_UY327_FMwebp_QL65_.jpg,Colleen Hoover
Of course I love you,https://m.media-amazon.com/images/I/41wNn0VobpL._SY445_SX342_.jpg,Durjoy Datta
Haunting Adeline,https://m.media-amazon.com/images/I/91F4ku0sviL._AC_UY327_FMwebp_QL65_.jpg,H.D. Carlton
Hunting Adeline,https://m.media-amazon.com/images/I/91kWtwTCwWL._AC_UY327_FMwebp_QL65_.jpg,H.D. Carlton
King of wrath,https://m.media-amazon.com/images/I/81cMua2TpUL._AC_UY327_FMwebp_QL65_.jpg,Ana Huang
King of pride,https://m.media-amazon.com/images/I/91nDeCkSzeL._AC_UY327_FMwebp_QL65_.jpg,Ana Huang
King of greed,https://m.media-amazon.com/images/I/81RkbLwbQDL._AC_UY327_FMwebp_QL65_.jpg,Ana Huang
Sinners anonymous,https://m.media-amazon.com/images/I/914S3ZvBSpL._AC_UY327_FMwebp_QL65_.jpg,Somme Sketcher
Sinners condemned,https://m.media-amazon.com/images/I/91XF-E8xjFL._AC_UY327_FMwebp_QL65_.jpg,Somme Sketcher
Sinners consumed,https://m.media-amazon.com/images/I/911Zqwq1FKL._AC_UY327_FMwebp_QL65_.jpg,Somme Sketcher
Black ties white lies,https://m.media-amazon.com/images/I/71GixQdn6AL._AC_UY327_FMwebp_QL65_.jpg,Kat Singleton
Roomhate,https://m.media-amazon.com/images/I/81x00mr1YxL._AC_UY327_FMwebp_QL65_.jpg,Penelope Ward
The Spanish love deception,https://m.media-amazon.com/images/I/61q6zUkQwOL._AC_UY327_FMwebp_QL65_.jpg,Elena Armas
A touch of darkness,https://m.media-amazon.com/images/I/81IGyx4-a+L._AC_UY327_FMwebp_QL65_.jpg,Scarlett St. Clair
Her vengeful king (Black hearts),https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644334116i/60373927.jpg,Unknown Author
Darling venom,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1683506991i/150304767.jpg,Unknown Author
Girl with the dragon tattoo,https://m.media-amazon.com/images/I/8133MFwkxOL._AC_UY327_FMwebp_QL65_.jpg,Stieg Larsson
Things we hide from light,https://m.media-amazon.com/images/I/81O8Mep2ArL._AC_UY327_FMwebp_QL65_.jpg,Unknown Author
Things we never got over,https://m.media-amazon.com/images/I/81gy9cu7FLL._AC_UY327_FMwebp_QL65_.jpg,Unknown Author
Things we left behind,https://m.media-amazon.com/images/I/81uklvt3H6L._AC_UY327_FMwebp_QL65_.jpg,Unknown Author
